Date,Wheat,Corn,Soybeans,Cocoa,Coffee,Orange Juice,Sugar,Cotton,Live Cattle,Lean Hogs
2015-01-02,581.25,395.75,1002.5,2927.0,161.0500030517578,144.4499969482422,14.170000076293945,59.58000183105469,165.6750030517578,81.30000305175781
2015-01-05,589.0,406.0,1039.75,2944.0,168.10000610351562,146.35000610351562,14.260000228881836,60.709999084472656,166.22500610351562,79.92500305175781
2015-01-06,591.75,405.0,1051.0,2902.0,174.89999389648438,142.60000610351562,14.869999885559082,60.20000076293945,166.02499389648438,78.57499694824219
2015-01-07,579.5,396.25,1052.75,2912.0,175.0500030517578,143.1999969482422,14.779999732971191,60.43000030517578,165.89999389648438,79.32499694824219
2015-01-08,567.0,394.25,1045.0,2986.0,176.89999389648438,141.6999969482422,14.880000114440918,60.560001373291016,163.60000610351562,78.17500305175781
2015-01-09,563.75,400.25,1051.5,2968.0,180.0500030517578,140.75,14.90999984741211,60.7599983215332,160.60000610351562,79.0250015258789
2015-01-12,555.5,402.0,1013.5,2994.0,176.75,143.3000030517578,14.760000228881836,59.72999954223633,160.4499969482422,76.6500015258789
2015-01-13,548.0,385.75,1000.0,2991.0,176.9499969482422,143.4499969482422,14.869999885559082,60.150001525878906,157.4499969482422,75.17500305175781
2015-01-14,537.75,381.0,992.5,2992.0,179.85000610351562,143.85000610351562,14.930000305175781,58.97999954223633,155.75,76.0250015258789
2015-01-15,532.75,380.0,991.0,2977.0,176.64999389648438,146.64999389648438,15.350000381469727,59.4900016784668,154.1999969482422,75.625
2015-01-16,532.75,387.0,991.75,2942.0,171.0,146.5,15.329999923706055,59.22999954223633,154.4499969482422,74.5
2015-01-20,537.0,390.25,982.0,2925.0,164.3000030517578,146.5,15.829999923706055,57.790000915527344,153.0500030517578,71.7750015258789
2015-01-21,536.75,388.0,983.5,2852.0,161.25,146.75,15.920000076293945,58.0099983215332,153.6999969482422,72.3499984741211
2015-01-22,533.75,383.75,976.75,2801.0,159.9499969482422,146.9499969482422,15.90999984741211,57.7599983215332,153.35000610351562,71.5999984741211
2015-01-23,530.0,386.75,972.75,2755.0,162.4499969482422,147.25,15.170000076293945,57.29999923706055,150.35000610351562,69.30000305175781
2015-01-26,520.5,384.0,983.5,2737.0,161.85000610351562,144.35000610351562,15.350000381469727,58.619998931884766,149.8249969482422,70.82499694824219
2015-01-27,519.0,381.25,973.75,2743.0,168.1999969482422,141.4499969482422,15.15999984741211,58.779998779296875,152.8249969482422,69.42500305175781
2015-01-28,505.25,373.25,970.25,2715.0,167.6999969482422,135.4499969482422,15.15999984741211,59.439998626708984,153.9499969482422,71.5250015258789
2015-01-29,507.75,371.5,968.25,2686.0,160.0,134.4499969482422,14.850000381469727,59.56999969482422,153.52499389648438,68.55000305175781
2015-01-30,502.75,370.0,961.0,2693.0,161.89999389648438,140.0,14.789999961853027,59.36000061035156,154.85000610351562,67.4749984741211
2015-02-02,492.75,369.75,959.5,2672.0,162.4499969482422,139.60000610351562,14.220000267028809,59.88999938964844,153.1999969482422,66.32499694824219
2015-02-03,513.75,385.75,987.0,2691.0,160.75,139.85000610351562,14.470000267028809,61.45000076293945,153.75,67.19999694824219
2015-02-04,511.0,383.5,972.0,2724.0,164.89999389648438,137.89999389648438,14.449999809265137,61.22999954223633,153.0,65.0999984741211
2015-02-05,525.75,385.25,981.25,2743.0,164.75,137.5500030517578,14.40999984741211,61.790000915527344,153.4250030517578,63.275001525878906
2015-02-06,527.0,385.75,973.5,2775.0,166.85000610351562,136.3000030517578,14.510000228881836,61.59000015258789,156.0749969482422,63.875
2015-02-09,529.75,391.25,978.5,2867.0,167.60000610351562,140.6999969482422,14.819999694824219,62.29999923706055,158.4499969482422,61.275001525878906
2015-02-10,521.75,388.0,969.0,2863.0,159.39999389648438,135.85000610351562,14.710000038146973,62.5099983215332,159.10000610351562,61.525001525878906
2015-02-11,525.75,385.75,977.75,2879.0,159.4499969482422,135.1999969482422,14.710000038146973,62.02000045776367,158.60000610351562,61.224998474121094
2015-02-12,521.25,383.0,983.75,2955.0,164.5500030517578,135.60000610351562,15.039999961853027,62.47999954223633,159.10000610351562,61.95000076293945
2015-02-13,533.0,387.25,990.5,2969.0,163.1999969482422,137.64999389648438,14.880000114440918,62.70000076293945,160.0,62.07500076293945
2015-02-17,534.75,389.5,1007.75,2990.0,155.64999389648438,137.6999969482422,15.140000343322754,63.79999923706055,158.60000610351562,64.0
2015-02-18,527.75,383.75,995.75,3027.0,152.8000030517578,134.35000610351562,15.09000015258789,64.62000274658203,159.1750030517578,64.2249984741211
2015-02-19,527.75,389.75,1007.25,3025.0,149.1999969482422,132.75,14.680000305175781,64.44000244140625,158.9250030517578,67.05000305175781
2015-02-20,510.25,385.25,999.25,3027.0,148.64999389648438,131.64999389648438,14.390000343322754,64.66999816894531,156.6999969482422,67.4000015258789
2015-02-23,505.75,378.75,999.25,3054.0,144.4499969482422,126.5999984741211,14.3100004196167,64.75,156.02499389648438,68.32499694824219
2015-02-24,505.75,377.5,1016.0,3082.0,145.35000610351562,123.9000015258789,14.170000076293945,64.76000213623047,156.64999389648438,68.57499694824219
2015-02-25,497.75,375.75,1007.75,3024.0,139.75,123.19999694824219,13.789999961853027,65.5199966430664,158.35000610351562,69.32499694824219
2015-02-26,503.25,380.0,1024.0,3051.0,136.5500030517578,121.4000015258789,14.079999923706055,65.16999816894531,161.125,67.1500015258789
2015-02-27,517.5,384.5,1030.75,3102.0,136.75,121.55000305175781,13.930000305175781,64.7300033569336,158.0,67.4749984741211
