Date,Gold,Silver,Copper,Platinum,Steel HRC,Nickel,Palladium,Lithium
2015-01-02,1186.0,15.734000205993652,2.8385000228881836,1203.0,605.0,,794.8499755859375,19.47339630126953
2015-01-05,1203.9000244140625,16.179000854492188,2.7929999828338623,1210.0999755859375,605.0,,793.2000122070312,19.057968139648438
2015-01-06,1219.300048828125,16.60300064086914,2.803999900817871,1220.800048828125,605.0,,800.4000244140625,19.057968139648438
2015-01-07,1210.5999755859375,16.510000228881836,2.7960000038146973,1220.699951171875,597.0,,792.4500122070312,19.057968139648438
2015-01-08,1208.4000244140625,16.35099983215332,2.806999921798706,1221.699951171875,597.0,,793.0999755859375,19.282991409301758
2015-01-09,1216.0,16.38599967956543,2.7904999256134033,1229.0999755859375,594.0,,800.1500244140625,19.265684127807617
2015-01-12,1232.699951171875,16.53499984741211,2.763000011444092,1240.4000244140625,594.0,,814.0999755859375,19.36953353881836
2015-01-13,1234.300048828125,17.125,2.678999900817871,1247.4000244140625,594.0,,815.7000122070312,19.38684844970703
2015-01-14,1234.4000244140625,16.95599937438965,2.552999973297119,1238.4000244140625,590.0,,780.6500244140625,19.127208709716797
2015-01-15,1264.699951171875,17.072999954223633,2.6110000610351562,1262.0999755859375,590.0,,766.3499755859375,18.98872947692871
2015-01-16,1276.9000244140625,17.73900032043457,2.6540000438690186,1269.800048828125,590.0,,754.2999877929688,18.971420288085938
2015-01-20,1294.199951171875,17.94700050354004,2.615499973297119,1287.0,585.0,,778.75,19.00603675842285
2015-01-21,1293.699951171875,18.179000854492188,2.615000009536743,1277.300048828125,583.0,,768.25,19.317609786987305
2015-01-22,1300.699951171875,18.34600067138672,2.6005001068115234,1284.0,583.0,,773.5999755859375,19.52532958984375
2015-01-23,1292.5999755859375,18.284000396728516,2.5374999046325684,1268.0,583.0,,775.4000244140625,19.404157638549805
2015-01-26,1279.4000244140625,17.966999053955078,2.573499917984009,1254.699951171875,583.0,,783.1500244140625,19.55994987487793
2015-01-27,1291.699951171875,18.06800079345703,2.5134999752044678,1266.300048828125,583.0,,782.0499877929688,19.577259063720703
2015-01-28,1285.9000244140625,18.06800079345703,2.5215001106262207,1257.5999755859375,572.0,,797.5999755859375,19.30030059814453
2015-01-29,1254.5999755859375,16.757999420166016,2.4704999923706055,1216.800048828125,550.0,,772.9000244140625,18.98872947692871
2015-01-30,1278.5,17.191999435424805,2.5280001163482666,1239.199951171875,550.0,,772.7000122070312,18.95410919189453
2015-02-02,1276.199951171875,17.235000610351562,2.510999917984009,1230.4000244140625,550.0,,788.2999877929688,19.19644546508789
2015-02-03,1259.699951171875,17.30500030517578,2.5999999046325684,1237.199951171875,547.0,,786.2999877929688,19.55994987487793
2015-02-04,1263.800048828125,17.378999710083008,2.611999988555908,1240.9000244140625,542.0,,790.5,19.282991409301758
2015-02-05,1262.0,17.18000030517578,2.611999988555908,1251.699951171875,542.0,,796.0,19.59457015991211
2015-02-06,1233.9000244140625,16.67799949645996,2.6029999256134033,1223.5999755859375,540.0,,781.5999755859375,19.646493911743164
2015-02-09,1240.800048828125,17.054000854492188,2.5989999771118164,1222.4000244140625,538.0,,779.9500122070312,19.663801193237305
2015-02-10,1231.5999755859375,16.85700035095215,2.5625,1209.300048828125,537.0,,766.0,19.681114196777344
2015-02-11,1219.0,16.7450008392334,2.552500009536743,1197.5999755859375,535.0,,766.8499755859375,19.73303985595703
2015-02-12,1220.0999755859375,16.777999877929688,2.6089999675750732,1203.5,532.0,,773.9500122070312,19.836904525756836
2015-02-13,1226.5,17.277999877929688,2.6135001182556152,1210.5,532.0,,794.75,20.14847755432129
2015-02-17,1208.0999755859375,16.36199951171875,2.5945000648498535,1180.0,530.0,,783.5499877929688,20.35619354248047
2015-02-18,1199.699951171875,16.25,2.6394999027252197,1170.199951171875,530.0,,776.9000244140625,20.390811920166016
2015-02-19,1207.0999755859375,16.371000289916992,2.6414999961853027,1175.800048828125,530.0,,787.0999755859375,20.338886260986328
2015-02-20,1204.4000244140625,16.26300048828125,2.6105000972747803,1172.9000244140625,530.0,,779.5,20.494670867919922
2015-02-23,1200.300048828125,16.246999740600586,2.6394999027252197,1166.300048828125,530.0,,786.25,20.35619354248047
2015-02-24,1196.9000244140625,16.18199920654297,2.7114999294281006,1166.5999755859375,528.0,,790.2999877929688,20.598526000976562
2015-02-25,1201.0,16.423999786376953,2.7074999809265137,1172.800048828125,503.0,,808.3499755859375,20.685077667236328
2015-02-26,1209.5999755859375,16.58300018310547,2.7139999866485596,1174.699951171875,503.0,,810.25,20.61583709716797
2015-02-27,1212.5999755859375,16.51300048828125,2.7160000801086426,1186.699951171875,503.0,,818.4500122070312,20.61583709716797
2015-03-02,1207.699951171875,16.406999588012695,2.7109999656677246,1191.0,500.0,,830.2999877929688,20.7889347076416
2015-03-03,1204.0,16.257999420166016,2.6735000610351562,1190.699951171875,500.0,,831.1500244140625,20.70238494873047
2015-03-04,1200.5999755859375,16.131999969482422,2.677000045776367,1182.800048828125,500.0,,830.4000244140625,20.685077667236328
2015-03-05,1195.9000244140625,16.131999969482422,2.671999931335449,1181.199951171875,500.0,,825.0,20.667768478393555
2015-03-06,1164.0999755859375,15.784000396728516,2.628999948501587,1159.9000244140625,500.0,,818.0499877929688,20.52928924560547
2015-03-09,1166.4000244140625,15.755000114440918,2.687000036239624,1149.699951171875,500.0,,822.5999755859375,20.425430297851562
2015-03-10,1160.0999755859375,15.61299991607666,2.634999990463257,1130.5,500.0,,803.75,19.992691040039062
