Price,Name,Region,DailyChange,WeeklyChange,MonthlyChange,YTDChange
6905.740234375,S&P 500,Americas,-0.349205148036813,0.3961625163588778,0.8271229012522863,17.673709250265635
48461.9296875,Dow Jones,Americas,-0.5112586936592223,0.205220224853786,1.5623715760854084,14.317846681399482
23474.349609375,Nasdaq 100,Americas,-0.5033251330520905,0.1942885372347325,0.4650415151155274,21.74994256345675
2519.800048828125,Russell 2000,Americas,-0.5741136097013877,-1.523381456102002,0.774671465190413,12.91096519825139
31896.599609375,S&P/TSX Composite,Americas,-0.3225056698961337,0.4433798696965363,2.179638801819017,28.109083498172538
160490.0,Bovespa,Americas,-0.2529568606002619,1.2727720179462665,1.3885730169560073,33.60249739854317
3100075.0,Merval,Americas,-0.3953566081262516,-1.1484045419614897,2.650844249655382,15.003045652136816
5751.7099609375,Euro Stoxx 50,Europe,0.042269221051371986,0.1741641439228614,1.6997351550960715,18.069768350952664
8112.02001953125,CAC 40,Europe,0.10415077440937281,-0.482861354115538,0.15494599467136272,9.714411566975434
24351.119140625,DAX,Europe,0.04543371504233118,0.6265383194900664,2.6337883530590966,21.605654980489874
9901.2001953125,FTSE 100,Europe,0.35169710953733,0.3567828432242015,1.85895988182192,19.867806243824138
44436.0,FTSE MIB,Europe,-0.3833479050373234,-0.060724647459686754,3.028054718293527,29.268363636363624
17195.80078125,IBEX 35,Europe,0.13335190971877076,0.15142866438142555,5.097244719517757,47.263402152988675
1708.4599609375,AEX,Europe,0.09960106647379785,-0.31799062573293346,0.52070625980154,16.64549595595115
50526.921875,Nikkei 225,Asia,-0.4403291230824835,0.22623345740000467,2.481864480368645,28.544169228544703
25635.23046875,Hang Seng,Asia,-0.7114904489589957,-0.21524985914449513,-1.1974873226442417,30.63655925965001
4220.56005859375,KOSPI,Asia,2.200651840921486,2.7918127660485403,7.486647806953695,75.93437775352028
8725.7001953125,ASX 200,Asia,-0.42224427602569614,1.2097779938502473,1.2356134860160184,6.3954053980999515
3965.280029296875,Shanghai Composite,Asia,0.04039364027448311,1.1556445926236503,1.3100113905084365,21.5388765625643
25942.099609375,Nifty 50,Asia,-0.3847631310177624,-0.8799375594624292,-0.9954971373540844,9.26255504832243
