Date,^MERV,^BVSP,^DJI,^GSPC,^STOXX50E,^HSI,^FTSE,^N100,^GSPTSE,^KS11,^IXIC,^AXJO,^GDAXI,^NSEI,000001.SS,FTSEMIB.MI,^FCHI,^RUT,^N225,^IBEX
2010-01-04,2385.0,70045.0,10583.9599609375,1132.989990234375,3017.800048828125,21823.279296875,5500.2998046875,696.989990234375,11866.900390625,1696.1400146484375,2308.419921875,4876.2998046875,6048.2998046875,5232.2001953125,3243.760009765625,23545.0,4013.969970703125,640.0999755859375,10654.7900390625,12145.0869140625
2010-01-05,2402.0,70240.0,10572.01953125,1136.52001953125,3012.360107421875,22279.580078125,5522.5,697.5700073242188,11888.099609375,1690.6199951171875,2308.7099609375,4924.2998046875,6031.85986328125,5277.89990234375,3282.178955078125,23556.0,4012.909912109375,638.489990234375,10681.830078125,12204.3876953125
2010-01-06,2363.0,70729.0,10573.6796875,1137.1400146484375,3009.659912109375,22416.669921875,5530.0,698.27001953125,11944.5,1705.3199462890625,2301.090087890625,4921.39990234375,6034.330078125,5281.7998046875,3254.215087890625,23622.0,4017.669921875,637.9500122070312,10731.4501953125,12222.4873046875
2010-01-07,2390.0,70451.0,10606.8603515625,1141.68994140625,3007.340087890625,22269.44921875,5526.7001953125,697.760009765625,11887.5,1683.449951171875,2300.050048828125,4899.39990234375,6019.35986328125,5263.10009765625,3192.77587890625,23709.0,4024.800048828125,641.969970703125,10681.66015625,12166.287109375
2010-01-08,2353.0,70263.0,10618.1904296875,1144.97998046875,3017.85009765625,22296.75,5534.2001953125,701.3800048828125,11953.7998046875,1695.260009765625,2317.169921875,4912.10009765625,6037.60986328125,5244.75,3195.9970703125,23811.0,4045.139892578125,644.5599975585938,10798.3203125,12162.9873046875
2010-01-11,2318.0,70433.0,10663.990234375,1146.97998046875,3010.239990234375,22411.51953125,5538.10009765625,700.719970703125,11947.099609375,1694.1199951171875,2312.409912109375,4950.7001953125,6040.5,5249.39990234375,3212.75,23775.0,4043.090087890625,643.989990234375,,12074.4873046875
2010-01-12,2271.0,70076.0,10627.259765625,1136.219970703125,2976.889892578125,22326.640625,5498.7001953125,693.5,11820.2001953125,1698.6400146484375,2282.31005859375,4899.5,5943.0,5210.39990234375,3273.966064453125,23583.0,4000.050048828125,635.5,10879.1396484375,11966.087890625
2010-01-13,2338.0,70385.0,10680.76953125,1145.6800537109375,2978.409912109375,21748.599609375,5473.5,694.4400024414062,11853.599609375,1671.4100341796875,2307.89990234375,4868.10009765625,5963.14013671875,5233.9501953125,3172.657958984375,23658.0,4000.860107421875,643.5599975585938,10735.0302734375,11958.2880859375
2010-01-14,2381.0,69801.0,10710.5498046875,1148.4599609375,2989.7099609375,21716.94921875,5498.2001953125,696.3200073242188,11804.400390625,1685.77001953125,2316.739990234375,4898.0,5988.8798828125,5259.89990234375,3215.550048828125,23806.0,4015.77001953125,646.4299926757812,10907.6796875,11999.7880859375
2010-01-15,2371.0,68978.0,10609.650390625,1136.030029296875,2940.25,21654.16015625,5455.39990234375,687.7000122070312,11685.400390625,1701.800048828125,2287.989990234375,4899.60009765625,5875.97021484375,5252.2001953125,3224.152099609375,23472.0,3954.3798828125,637.9600219726562,10982.099609375,11844.98828125
2010-01-18,2372.0,69401.0,,,2957.8701171875,21460.009765625,5494.39990234375,691.72998046875,11750.5,1711.780029296875,,4911.10009765625,5918.5498046875,5274.85009765625,3237.097900390625,23510.0,3977.4599609375,,10855.080078125,11870.6884765625
2010-01-19,2388.0,69909.0,10725.4296875,1150.22998046875,2984.820068359375,21677.98046875,5513.10009765625,695.8699951171875,11763.400390625,1710.219970703125,2320.39990234375,4861.2001953125,5976.47998046875,5225.64990234375,3246.8740234375,23706.0,4009.669921875,649.1500244140625,10764.900390625,12022.587890625
2010-01-20,2352.0,68200.0,10603.150390625,1138.0400390625,2914.60009765625,21286.169921875,5420.7998046875,684.8200073242188,11679.2998046875,1714.3800048828125,2291.25,4868.2001953125,5851.52978515625,5221.7001953125,3151.85009765625,23126.0,3928.949951171875,639.6099853515625,10737.51953125,11708.98828125
2010-01-21,2340.0,66270.0,10389.8798828125,1116.47998046875,2863.25,20862.669921875,5335.10009765625,674.5800170898438,11469.099609375,1722.010009765625,2265.699951171875,4827.2001953125,5746.97021484375,5094.14990234375,3158.863037109375,22876.0,3862.159912109375,628.3599853515625,10868.41015625,11443.98828125
2010-01-22,2332.0,66220.0,10172.98046875,1091.760009765625,2836.800048828125,20726.1796875,5303.0,667.989990234375,11343.400390625,1684.3499755859375,2205.2900390625,4750.60009765625,5695.31982421875,5036.0,3128.587890625,22568.0,3820.780029296875,617.1199951171875,10590.5498046875,11373.388671875
2010-01-25,2321.0,,10196.8603515625,1096.780029296875,2807.300048828125,20598.55078125,5260.2998046875,663.1199951171875,11354.5,1670.199951171875,2210.800048828125,4717.89990234375,5631.3701171875,5007.89990234375,3094.410888671875,22373.0,3781.85009765625,618.1099853515625,10512.6904296875,11249.2880859375
2010-01-26,2309.0,65524.0,10194.2900390625,1092.1700439453125,2827.739990234375,20109.330078125,5276.89990234375,666.719970703125,11361.2001953125,1637.3399658203125,2203.72998046875,,5668.93017578125,,3019.39404296875,22408.0,3807.0400390625,612.1599731445312,10325.2802734375,11347.2880859375
2010-01-27,2306.0,65070.0,10236.16015625,1097.5,2787.39990234375,20033.0703125,5217.5,660.739990234375,11344.099609375,1625.47998046875,2221.409912109375,4644.60009765625,5643.2001953125,4853.10009765625,2986.60693359375,21998.0,3759.800048828125,618.3800048828125,10252.080078125,11042.189453125
2010-01-28,2294.0,65588.0,10120.4599609375,1084.530029296875,2737.330078125,20356.369140625,5145.7001953125,651.4099731445312,11274.2001953125,1642.4300537109375,2179.0,4673.2998046875,5540.330078125,4867.25,2994.14306640625,21603.0,3688.7900390625,607.9299926757812,10414.2900390625,10829.2890625
