Date,Price
2026-01-02,14.510000228881836
2026-01-05,14.899999618530273
2026-01-06,14.75
2026-01-07,15.380000114440918
2026-01-08,15.449999809265137
2026-01-09,14.489999771118164
2026-01-12,15.119999885559082
2026-01-13,15.979999542236328
2026-01-14,16.75
2026-01-15,15.84000015258789
2026-01-16,15.859999656677246
2026-01-20,20.09000015258789
2026-01-21,16.899999618530273
2026-01-22,15.640000343322754
2026-01-23,16.09000015258789
2026-01-26,16.149999618530273
2026-01-27,16.350000381469727
2026-01-28,16.350000381469727
2026-01-29,16.8799991607666
2026-01-30,17.440000534057617
2026-02-02,16.34000015258789
2026-02-03,18.0
2026-02-04,18.639999389648438
2026-02-05,21.770000457763672
2026-02-06,20.3700008392334
2026-02-09,17.360000610351562
2026-02-10,17.790000915527344
2026-02-11,17.649999618530273
2026-02-12,20.81999969482422
2026-02-13,20.600000381469727
2026-02-17,20.290000915527344
2026-02-18,19.6200008392334
