Date,Price
2025-01-02,1.0351860523223877
2025-01-03,1.0268205404281616
2025-01-06,1.0305347442626953
2025-01-07,1.0386372804641724
2025-01-08,1.034554123878479
2025-01-09,1.0314701795578003
2025-01-10,1.0297601222991943
2025-01-13,1.0244431495666504
2025-01-14,1.0265253782272339
2025-01-15,1.0306835174560547
2025-01-16,1.0295268297195435
2025-01-17,1.0301949977874756
2025-01-20,1.0277386903762817
2025-01-21,1.0420682430267334
2025-01-22,1.0405935049057007
2025-01-23,1.0410159826278687
2025-01-24,1.041601538658142
2025-01-27,1.0467586517333984
2025-01-28,1.0445064306259155
2025-01-29,1.0429050922393799
2025-01-30,1.0425245761871338
2025-01-31,1.0397279262542725
2025-02-03,1.024779200553894
2025-02-04,1.0327378511428833
2025-02-05,1.0372798442840576
2025-02-06,1.0400848388671875
2025-02-07,1.0385725498199463
2025-02-10,1.0311616659164429
2025-02-11,1.0301525592803955
2025-02-12,1.0364949703216553
2025-02-13,1.039198637008667
2025-02-14,1.0461673736572266
2025-02-17,1.0489217042922974
2025-02-18,1.048536777496338
2025-02-19,1.044833779335022
2025-02-20,1.0421009063720703
2025-02-21,1.0500562191009521
2025-02-24,1.0474823713302612
2025-02-25,1.0461344718933105
2025-02-26,1.0524100065231323
2025-02-27,1.0488777160644531
2025-02-28,1.039511799812317
2025-03-03,1.0413846969604492
2025-03-04,1.0485037565231323
2025-03-05,1.062699317932129
2025-03-06,1.0794938802719116
2025-03-07,1.0787951946258545
2025-03-10,1.086059331893921
2025-03-11,1.0839403867721558
2025-03-12,1.0914170742034912
2025-03-13,1.0886249542236328
2025-03-14,1.085564136505127
2025-03-17,1.0881274938583374
2025-03-18,1.091917634010315
2025-03-19,1.093948245048523
2025-03-20,1.0911908149719238
2025-03-21,1.0856702327728271
2025-03-24,1.0835762023925781
2025-03-25,1.0803569555282593
2025-03-26,1.0787487030029297
2025-03-27,1.0742061138153076
2025-03-28,1.080100178718567
2025-03-31,1.082391619682312
2025-04-01,1.0818880796432495
2025-04-02,1.0795987844467163
2025-04-03,1.090869426727295
2025-04-04,1.1043744087219238
2025-04-07,1.098454475402832
2025-04-08,1.0915361642837524
2025-04-09,1.0980443954467773
2025-04-10,1.0952062606811523
2025-04-11,1.1257838010787964
2025-04-14,1.1343141794204712
2025-04-15,1.1339668035507202
2025-04-16,1.1292672157287598
2025-04-17,1.1396790742874146
2025-04-22,1.1512778997421265
2025-04-23,1.1351252794265747
2025-04-24,1.132733702659607
2025-04-25,1.1371906995773315
2025-04-28,1.1343141794204712
2025-04-29,1.1409143209457397
2025-04-30,1.1389262676239014
2025-05-01,1.1324899196624756
2025-05-02,1.1296498775482178
2025-05-05,1.1323232650756836
2025-05-06,1.1313369274139404
2025-05-07,1.1342755556106567
2025-05-08,1.1306205987930298
2025-05-09,1.122422695159912
2025-05-12,1.12296462059021
2025-05-13,1.1095577478408813
2025-05-14,1.1185556650161743
2025-05-15,1.1181930303573608
2025-05-16,1.1192693710327148
2025-05-19,1.1187559366226196
2025-05-20,1.1233429908752441
2025-05-21,1.1287955045700073
2025-05-22,1.133118748664856
2025-05-23,1.1281843185424805
2025-05-26,1.1372811794281006
2025-05-27,1.1388484239578247
2025-05-28,1.1337097883224487
2025-05-29,1.123368263244629
2025-05-30,1.1378376483917236
2025-06-02,1.1353315114974976
2025-06-03,1.1453442573547363
2025-06-04,1.1384464502334595
2025-06-05,1.1422044038772583
2025-06-06,1.1453834772109985
2025-06-09,1.1407841444015503
2025-06-10,1.1428048610687256
2025-06-11,1.143746018409729
2025-06-12,1.1509333848953247
2025-06-13,1.1600254774093628
2025-06-16,1.1556684970855713
2025-06-17,1.1551345586776733
2025-06-18,1.1482638120651245
2025-06-19,1.1477497816085815
2025-06-20,1.1512778997421265
2025-06-23,1.1500862836837769
2025-06-24,1.1599044799804688
2025-06-25,1.161224365234375
2025-06-26,1.1683744192123413
2025-06-27,1.1692214012145996
2025-06-30,1.1727453470230103
2025-07-01,1.178717017173767
2025-07-02,1.180553913116455
2025-07-03,1.18002450466156
2025-07-04,1.1771491765975952
2025-07-07,1.178078293800354
2025-07-08,1.1736538410186768
2025-07-09,1.1724566221237183
2025-07-10,1.17311692237854
2025-07-11,1.1702749729156494
2025-07-14,1.1682106256484985
2025-07-15,1.1666297912597656
2025-07-16,1.1607391834259033
2025-07-17,1.1635754108428955
2025-07-18,1.161548137664795
2025-07-21,1.1630746126174927
2025-07-22,1.1694538593292236
2025-07-23,1.1739156246185303
2025-07-24,1.1774264574050903
2025-07-25,1.1756131649017334
2025-07-28,1.1756821870803833
2025-07-29,1.1596757173538208
2025-07-30,1.1550945043563843
2025-07-31,1.1429355144500732
2025-08-01,1.142374038696289
2025-08-04,1.158668041229248
2025-08-05,1.1584129333496094
2025-08-06,1.1579166650772095
2025-08-07,1.1663167476654053
2025-08-08,1.1676650047302246
2025-08-11,1.1647952795028687
2025-08-12,1.1618449687957764
2025-08-13,1.1677058935165405
2025-08-14,1.171289324760437
2025-08-15,1.1651345491409302
2025-08-18,1.1706587076187134
2025-08-19,1.1668338775634766
2025-08-20,1.164252758026123
2025-08-21,1.165175199508667
2025-08-22,1.16130530834198
2025-08-25,1.1709601879119873
2025-08-26,1.1618449687957764
2025-08-27,1.1639411449432373
2025-08-28,1.1647952795028687
2025-08-29,1.1681560277938843
2025-09-01,1.1691803932189941
2025-09-02,1.1715912818908691
2025-09-03,1.163602590560913
2025-09-04,1.16604483127594
2025-09-05,1.1656913757324219
2025-09-08,1.1713168621063232
